Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
7999,vivo,vivo Y19e,Titanium Silver,4.5,,,,,,,,
1939,Nokia,Nokia 130 Music,nan,4.4,64,4,,,,,,130
10799,POCO,POCO M6 Plus,Misty Lavender,4.3,,,6.745,,,,,
31532,OnePlus,OnePlus Nord 5,Phantom Grey,4.4,,,,,,,,5
10499,realme,realme P3 Lite,Midnight Lily,4.3,,,,5000,,,,
5999,Ai+,Ai+ Pulse,Black,4.3,,,,,,,,
15450,IQOO,IQOO Z10X 5G,Titanium,4.2,,,,,,,,
14177,IQOO,IQOO Z10X 5G,Titanium,5,64,4,,,,,,
12370,REDMI,REDMI 13 5G,Hawaiian Blue,5,,,6.74,,,,,13
17999,POCO,POCO X7 5G,Glacier Green,4.5,,,,,,,,
15999,Infinix,Infinix Note 50s,Marine Drift,5,,,,6300,,,,
44999,Google,Google Pixel 9A,Obsidian,5,,,,,,,,
54900,Apple,Apple iPhone 14,Starlight,4.4,128,4,,,,,,14
37989,OnePlus,OnePlus Nord 5,Phantom Grey,4,,,6.72,,,,,5
31774,OnePlus,OnePlus Nord 5,Dry Ice,4,,,,,,,,5
17999,realme,realme 15x 5G,Marine Blue,4.4,,,,5000,,,,
16999,realme,realme 15x 5G,Maroon Red,4,,,,,,,,
30999,POCO,POCO F7 5G,Phantom Black,3,,,,,,,,
14197,IQOO,IQOO Z10X 5G,Ultramarine,4.4,,,,,,,,
37989,OnePlus,OnePlus Nord 5,Phantom Grey,5,128,4,,,,,,5
31774,OnePlus,OnePlus Nord 5,Dry Ice,3,,,6.72,,,,,5
17999,realme,realme 15x 5G,Marine Blue,4.1,,,,,,,,
1055,IAIR,IAIR Keypad Mobile,nan,4.4,,,,5000,,,,2800
16999,realme,realme 15x 5G,Maroon Red,4.4,,,,,,,,
30999,POCO,POCO F7 5G,Phantom Black,4.4,,,,,,,,
54900,Apple,Apple iPhone 14,Starlight,4.3,,,,,,,,14
11999,POCO,POCO M7 Pro,Lunar Dust,4.5,64,4,,,,,,
38378,OnePlus,OnePlus 13R 5G,Nebula Noir,3.7,,,6.88,,,,,
15999,realme,realme 14x 5G,Golden Glow,4.4,,,,,,,,
6833,realme,realme Narzo 80,Beach Gold,4,,,,5160,,,,80
21999,POCO,POCO X7 Pro,Nebula Green,4.5,,,,,,,,
30999,POCO,POCO F7 5G,Silver Edition,4.4,,,,,,,,
6199,POCO,POCO C71,Power Black,3.9,128,8,,,,,,
15999,POCO,POCO X7 5G,Cosmic Silver,4,,,6.88,,,,,
17400,IQOO,IQOO Z10X 5G,Titanium,4.3,,,,,,,,
17380,IQOO,IQOO Z10X 5G,Ultramarine,4.1,,,,5160,,,,
999,IAIR,IAIR S50 Dual,nan,4.3,,,,,,,,2800
13690,IQOO,IQOO Z10 Lite,Titanium Blue,4.5,,,,,,,,
11690,IQOO,IQOO Z10 Lite,Titanium Blue,4.5,64,4,,,,,,
11999,Motorola,Motorola g45 5G,Viva Magenta,4.5,,,6.67,,,,,
15999,realme,realme 14x 5G,Jewel Red,4.4,,,,,,,,
14999,realme,realme 14x 5G,Golden Glow,4.6,,,,5100,,,,
1055,IAIR,IAIR Keypad Mobile,nan,4.3,,,,,,,,2800
12999,OPPO,OPPO K13x 5G,Mist White,4.4,,,,,,,,
15999,realme,realme 14x 5G,Crystal Black,4.3,128,6,,,,,,
12999,POCO,POCO M7 Plus,Aqua Blue,4.3,,,6.67,,,,,
6399,Redmi,Redmi 6A,Gold,5,,,,,,,,
19999,OPPO,OPPO K13 5G,Icy Purple,1,,,,6000,,,,
19999,OPPO,OPPO K13 5G,Prism Black,4.4,,,,,,,,
6199,POCO,POCO C71,Desert Gold,5,,,,,,,,
20999,CMF,CMF by Nothing,Light Green,5,128,8,,,,,,2
20999,CMF,CMF by Nothing,Orange,3.9,,,6.67,,,,,2
6686,I,I Kall Z10,Orange,5,,,,,,,,6.53
69900,Apple,Apple iPhone 16,Pink,3,,,,6000,,,,16
18794,IQOO,IQOO Z10R 5G,Aquamarine,4.1,,,,,,,,
11999,POCO,POCO M7 Plus,Carbon Black,5,,,,,,,,
18999,CMF,CMF by Nothing,White,3,128,8,,,,,,2
20999,CMF,CMF by Nothing,White,4.6,,,6.72,,,,,2
18999,CMF,CMF by Nothing,Light Green,5,,,,,,,,2
69900,Apple,Apple iPhone 16,Teal,5,,,,6500,,,,16
11490,OPPO,OPPO A3x 5G,Sparkle Black,4.6,,,,,,,,
8999,Samsung,Samsung Galaxy F06,Lit Violet,4,,,,,,,,
23999,Samsung,Samsung Galaxy A35,Awesome Navy,4.5,256,8,,,,,,
26829,OnePlus,OnePlus Nord CE5,Black Infinity,4.2,,,6.74,,,,,
26865,OnePlus,OnePlus Nord CE5,Marble Mist,4.1,,,,,,,,
54900,Apple,Apple iPhone 14,Blue,4,,,,6000,,,,14
7598,LAVA,LAVA Bold N1,Titanium Gold,4.3,,,,,,,,
8999,Ai+,Ai+ Nova 5G,Blue,4,,,,,,,,
34465,OnePlus,OnePlus Nord 5,Dry Ice,4.5,128,6,,,,,,5
79900,Apple,Apple iPhone 16,Pink,4.2,,,6.72,,,,,16
13680,IQOO,IQOO Z10 Lite,Cyber Green,4.5,,,,,,,,
15999,Motorola,Motorola G85 5G,Viva Magenta,4.5,,,,6000,,,,
13999,REDMI,REDMI Note 14,Crimson Art,4.5,,,,,,,,14
12145,REDMI,REDMI 13 5G,Black Diamond,4.2,,,,,,,,13
79900,Apple,Apple iPhone 16,Teal,4.3,128,8,,,,,,16
1205,hmd,hmd 105 Dual,nan,4.4,,,6.72,,,,,105
38089,OnePlus,OnePlus 13R 5g,Astral Trail,4.4,,,,,,,,
7499,POCO,POCO C75 5G,Enchanted Green,4.3,,,,5000,,,,
18999,CMF,CMF by Nothing,Black,4.3,,,,,,,,2
14499,vivo,vivo T4x 5G,Glacial Teal,4.4,,,,,,,,
12368,REDMI,REDMI 13 5G,Hawaiian Blue,4.4,,,,,,,,13
1399,itel,itel it5262,nan,4.5,128,6,,,,,,
11999,POCO,POCO M7 Pro,Olive Twilight,4.3,,,6.67,,,,,
20999,CMF,CMF by Nothing,Black,3.9,,,,,,,,2
19499,vivo,vivo T4R 5G,Twilight Blue,4.3,,,,6000,,,,
19499,vivo,vivo T4R 5G,Arctic White,5,,,,,,,,
21499,vivo,vivo T4R 5G,Arctic White,1,128,4,,,,,,
17999,realme,realme 15x 5G,Aqua Blue,3.9,,,6.7,,,,,
19999,realme,realme 15x 5G,Marine Blue,5,,,,,,,,
45899,OnePlus,OnePlus 13R 5G,Nebula Noir,5,,,,5000,,,,
17999,realme,realme 15x 5G,Aqua Blue,4.3,,,,,,,,
19999,realme,realme 15x 5G,Marine Blue,5,,,,,,,,
45899,OnePlus,OnePlus 13R 5G,Nebula Noir,2,128,8,,,,,,
12999,OPPO,OPPO K13x 5G,Breeze Blue,4.1,,,6.5,,,,,
12999,OPPO,OPPO K13x 5G,Mist White,4,,,,,,,,
19100,IQOO,IQOO Z10R 5G,Moonstone,5,,,,5000,,,,
9773,REDMI,REDMI 14C 5G,Stargaze Black,4.3,,,,,,,,
1119,itel,itel it5027 Slim,nan,5,,,,,,,,2.4
