Price,Brand,Model,Color,Rating,ROM,RAM,Display (inch),Battery (mAh),Camera (MP),Processor,Voice Call,Display
31520,MSI,MSI Modern 14,,5,,,,,,,,14
37990,HP,HP 14R,,5,,,,,,,,
72990,ASUS,ASUS Vivobook S16,Backlit Keyboard,4.4,,,,,,,,
40990,ASUS,ASUS Vivobook Go,,5,,,,,,(13th Gen),,15
57990,ASUS,ASUS TUF Gaming,,1,,,,,,,,5
34990,ASUS,ASUS Vivobook Go,,4.2,,,,,,,,15
42990,ASUS,"ASUS Vivobook 15,",,4.1,,,,,,,,15
54990,ASUS,ASUS TUF Gaming,,4.1,,,15.6,,,,,7
91990,MSI,MSI Katana A15,,4.4,,,,,,,,7
35410,Lenovo,Lenovo V 14,,4.1,,,,,,,,14
38200,MSI,MSI Modern 15,,3.5,,,,,,(13th Gen),,15
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.2,,,,,,,,
78490,DELL,DELL 14 Plus,,4,,,,,,,,14
95990,MSI,MSI Thin A15,,4.3,,,,,,,,7
14360,HP,HP Chromebook MediaTek,EE Chromebook,4.4,,,15.6,,,,,
56990,ASUS,ASUS Vivobook 14,,4.2,,,,,,,,14
38990,ASUS,"ASUS Vivobook 15,",,4.2,,,,,,,,15
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.3,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,3.9,,,,,,,,
30990,ASUS,ASUS Vivobook Go,,4.3,,,,,,,,14
68990,ASUS,ASUS Expertbook P1,,4.5,,,,,,,,
99990,MSI,MSI Katana 15,,4.2,,,,,,,,15
42790,Lenovo,Lenovo Intel Core,Light Laptop,4.4,,,,,,,,
46990,DELL,DELL Inspiron 3520,,4.3,,,,,,(14th Gen),,3520
61990,HP,HP Victus 15,,4.4,,,,,,,,15
34990,ASUS,ASUS Vivobook Go,,4,,,,,,,,15
40990,ASUS,ASUS Vivobook Go,,4.3,,,,,,,,15
48990,Lenovo,Lenovo V 14,,4.3,,,,,,,,14
48990,ASUS,ASUS Vivobook 15,,4,,,,,,,,15
55990,ASUS,ASUS Vivobook 16,,4,,,,,,,,16
38800,DELL,DELL Latitude 3550,,5,,,,,,,,3550
32490,Lenovo,Lenovo IdeaPad Slim,,5,,,,,,,,3
98890,MSI,MSI Thin A15,,4,,,,,,,,7
57599,ZEBRONICS,ZEBRONICS Pro Series,,5,,,,,,,,
34890,HP,HP 14s AMD,,1,,,,,,,,3
41990,MSI,MSI Modern 14,,4.3,,,,,,,,14
34880,Lenovo,Lenovo IdeaPad Slim,,4,,,,,,,,3
19990,CHUWI,CHUWI Intel Core,Grey Laptop,5,,,,,,,,
78490,DELL,DELL 14 Plus,,4.4,,,,,,,,14
66990,ASUS,ASUS TUF Gaming,,5,,,,,,,,7
129990,Lenovo,Lenovo Yoga Pro,,1,,,,,,,,7
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.2,,,15.6,,,,,
37990,CHUWI,CHUWI Intel Core,,4,,,,,,,,
37800,DELL,DELL Inspiron 5440,,5,,,,,,(13th Gen),,5440
53000,HP,HP Intel Core,Light Laptop,4,,,,,,,,
38990,MSI,MSI Modern 14,,4,,,,,,,,14
66290,Lenovo,Lenovo LOQ AMD,,4.1,,,,,,,,5
34990,Lenovo,Lenovo Intel Core,Light Laptop,4.4,,,,,,,,
78999,ZEBRONICS,ZEBRONICS Pro Series,,4.5,,,,,,,,
35490,Lenovo,Lenovo V15 Series,,4.3,,,,,,,,5
29990,Lenovo,Lenovo IdeaPad Slim,,4.2,,,,,,,,3
61990,Acer,Acer Swift Neo,,4.5,,,,,,,,5
40990,ASUS,ASUS Vivobook Go,,4.2,,,,,,,,15
55990,ASUS,ASUS TUF Gaming,,4,,,,,,,,7
45990,ASUS,"ASUS Vivobook 15,",,4.3,,,,,,,,15
57990,Acer,Acer Swift Neo,,4.1,,,,,,,,5
54990,DELL,DELL Inspiron Intel,,4.2,,,,,,,,
67990,Lenovo,Lenovo LOQ Intel,,4.3,,,,,,,,
31990,Acer,Acer Professional AMD,,3.9,,,,,,,,3
59800,HP,HP 15s Intel,,4,,,,,,,,
59990,HP,HP Victus Intel,,4.3,,,14.1,,,,,
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.4,,,,,,,,
78490,DELL,DELL 14 Plus,,4.4,,,,,,,,14
45990,ASUS,"ASUS Vivobook 15,",,4.2,,,,,,,,15
28780,Lenovo,Lenovo IdeaPad Slim,,4.5,,,,,,,,1
64990,Acer,Acer Swift Neo,,4.3,,,,,,,,5
66990,Lenovo,Lenovo Idea Pad,,4.3,,,,,,,,3
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,4.1,,,,,,,,
45990,HP,HP 15s AMD,,5,,,,,,(13th Gen),,5
68790,Lenovo,Lenovo LOQ AMD,,1,,,,,,,,5
42999,Lenovo,Lenovo AMD Ryzen,Light Laptop,4.3,,,,,,,,7
17990,Acer,Acer Aspire 3,,5,,,,,,,,3
62990,ASUS,ASUS Vivobook S14,,3,,,15.6,,,,,
54990,Infinix,Infinix Y4 Max,,4.3,,,,,,,,
94990,ASUS,ASUS Expertbook P5,,4,,,,,,,,5
48990,ASUS,ASUS Vivobook 14,,1,,,,,,,,14
38799,HP,HP Intel Core,Light Laptop,4.2,,,,,,,,
37790,DELL,DELL 14,,3,,,,,,,,14
14989,Avita,Avita SATUS S111,,5,,,11.6,,,,,
59990,Lenovo,Lenovo IdeaPad Slim,,4,,,,,,,,3
58990,HP,HP Professional 240,,5,,,,,,(12th Gen),,240
36500,HP,HP 15s Backlit,,5,,,,,,,,3
47990,MSI,MSI AMD Ryzen,,4.3,,,,,,,,7
15690,ASUS,ASUS Chromebook Intel,,4.1,,,,,,,,
22990,Acer,Acer Aspire 3,,5,,,,,,,,3
79990,Acer,Acer Nitro V,,3.8,,,,,,,,15
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.4,,,,,,,,
78490,DELL,DELL 14 Plus,,4.1,,,,,,,,14
57990,MSI,MSI Thin A15,,4.3,,,,,,,,5
34990,ASUS,ASUS Vivobook Go,,4.3,,,,,,,,15
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.2,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,4,,,,,,,,
31490,Lenovo,Lenovo V15 G2,Laptop,3.9,,,,,,,,
29999,Lenovo,Lenovo V 15,,4.2,,,,,,,,15
36999,HP,HP 15s AMD,,4.2,,,,,,,,3
24990,ASUS,ASUS Vivobook Go,,4.3,,,,,,,,15
75990,ASUS,ASUS TUF Gaming,,4.1,,,,,,,,
53500,Lenovo,Lenovo THINKPAD E14,nan,4.3,,,,,,,,5
27856,ASUS,ASUS Chromebook Intel,,4.2,,,,,,(12th Gen),,
43886,HP,HP 15R,,4.3,,,,,,,,
99199,HP,HP Victus Intel,,4.2,,,,,,,,
25499,Acer,Acer One Intel,,4.1,,,,,,,,
40990,ASUS,ASUS Vivobook Go,,4.3,,,,,,,,15
82890,Lenovo,Lenovo IdeaPad Slim,,4,,,,,,,,3
33250,HP,HP 15 G9,,4.2,,,,,,,,15
58856,HP,HP Professional Intel,,4.4,,,,,,,,
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4,,,,,,,,
78490,DELL,DELL 14 Plus,,5,,,,,,,,14
93290,Lenovo,Lenovo LOQ AMD,,5,,,15.6,,,,,7
31390,Lenovo,Lenovo IdeaPad Slim,,4.1,,,,,,,,3
41990,CHUWI,CHUWI Intel Core,Pro Laptop,5,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,1,,2,,,,Intel Core i3-1005G1 (Base 1.20 GHz & Turbo upto 3.40 GHz) 2 Cores,,
38710,HP,HP 15s Intel,,4,,,,,,(10th Gen),,
22490,Ultimus,Ultimus Neo Intel,,5,,,,,,,,
48590,Lenovo,Lenovo V 14,,5,,,,,,,,14
65990,ASUS,ASUS Vivobook S14,,4.4,,,,,,,,
38890,HP,HP Intel Core,,5,,,,,,,,
30590,HP,HP 15,,1,,,,,,,,15
49890,Lenovo,Lenovo IdeaPad Slim,,4.2,,,,,,,,3
14989,Avita,Avita SATUS Intel,MB Laptop,4,,,,,,,,
64990,MSI,MSI Intel Core,,5,,,,,,,,
89990,MSI,MSI Prestige 13,,4.1,,,,,,,,13
37990,HP,HP 15,,4.4,,,,,,,,15
36990,Lenovo,Lenovo IdeaPad Slim,,4.5,,,,,,,,1
78899,HP,HP Intel Core,Light Laptop,4.2,,,,,,,,
21990,HP,HP 255 G9,Light Laptop,4.2,,,,,,(13th Gen),,255
82990,HP,HP Victus Intel,,4,,,,,,,,
84990,MSI,MSI Prestige 13,,4.2,,,,,,,,13
69990,Infinix,Infinix X Air,,5,,,,,,,,
61990,Acer,Acer Swift Neo,,4.3,,,,,,,,5
19990,CHUWI,CHUWI Intel Core,Grey Laptop,4.2,,,,,,,,
78490,DELL,DELL 14 Plus,,4.2,,,,,,(13th Gen),,14
56476,HP,HP Professional Intel,,4.2,,,,,,,,
69990,Infinix,Infinix X Air,,4.2,,,,,,,,
37990,HP,HP 15s Intel,,4.3,,,,,,,,
42067,MSI,MSI Modern 14,,3.9,,,,,,,,14
41990,CHUWI,CHUWI Intel Core,Pro Laptop,4.5,,,,,,,,
37990,CHUWI,CHUWI Intel Core,,4.4,,,,,,(13th Gen),,
42990,MSI,MSI Modern 14,,4.4,,,,,,,,14
63499,Acer,Acer Nitro V,,4.4,,,,,,,,5
30990,ASUS,ASUS Vivobook 15,,4.2,,,,,,,,15
64199,HP,HP Pavilion Intel,,4.3,,,,,,,,
92399,Acer,Acer Predator Neo,,4.5,,,,,,,,
64990,MOTOROLA,MOTOROLA Motobook 60,,3.5,,,,,,,,60
57000,Lenovo,Lenovo IdeaPad Slim,,4.5,,,,,,,,3
21990,Lenovo,Lenovo Chromebook MediaTek,Chromebook,4.4,,,,,,,,520
45999,Lenovo,Lenovo V 15,,4,,,,,,,,15
49949,DELL,DELL Inspiron 15,,5,,,,,,,,15
68990,MOTOROLA,MOTOROLA Motobook 60,,4.1,,,,,,,,60
30990,Infinix,Infinix B15 Series,,5,,,,,,(12th Gen),,5
31990,MSI,MSI Modern 14,,1,,,,,,,,14
